number,prime_awareness,prime_difficulty,prime_correctness,target_difficulty,target_correctness,fixation_time,prime_time,prime,mask_time,mask,target
1,неосознаваемый,простой,неверно,простой,верно,600,60,4*6=28,250,ХХХХХХ,8*8=64
2,неосознаваемый,простой,неверно,простой,неверно,600,60,3*8=32,250,ХХХХХХ,7*7=42
3,неосознаваемый,простой,неверно,простой,верно,600,60,9*2=16,250,ХХХХХХ,3*6=18
4,неосознаваемый,простой,неверно,простой,неверно,600,60,8*5=45,250,ХХХХХХ,5*7=30
5,неосознаваемый,простой,верно,простой,неверно,600,60,9*6=54,250,ХХХХХХ,7*4=24
6,неосознаваемый,простой,верно,простой,неверно,600,60,5*5=25,250,ХХХХХХ,2*6=16
7,неосознаваемый,простой,неверно,простой,верно,600,60,5*3=16,250,ХХХХХХ,7*5=35
8,неосознаваемый,простой,верно,простой,верно,600,60,4*6=24,250,ХХХХХХ,9*8=72
9,неосознаваемый,простой,неверно,простой,верно,600,60,6*7=48,250,ХХХХХХ,6*9=54
10,неосознаваемый,простой,неверно,простой,неверно,600,60,9*5=40,250,ХХХХХХ,4*7=26
11,неосознаваемый,простой,неверно,простой,верно,600,60,8*6=42,250,ХХХХХХ,9*5=45
12,неосознаваемый,простой,верно,простой,неверно,600,60,7*9=63,250,ХХХХХХ,4*4=18
13,неосознаваемый,простой,неверно,простой,верно,600,60,5*6=35,250,ХХХХХХ,7*2=14
14,неосознаваемый,простой,верно,простой,неверно,600,60,3*4=12,250,ХХХХХХ,9*3=24
15,неосознаваемый,простой,неверно,простой,верно,600,60,2*9=21,250,ХХХХХХ,4*5=20
16,неосознаваемый,простой,верно,простой,верно,600,60,8*6=48,250,ХХХХХХ,5*7=35
17,неосознаваемый,простой,верно,простой,неверно,600,60,4*7=28,250,ХХХХХХ,6*4=28
18,неосознаваемый,простой,неверно,простой,неверно,600,60,9*7=64,250,ХХХХХХ,7*9=72
19,неосознаваемый,простой,неверно,простой,неверно,600,60,2*7=15,250,ХХХХХХ,8*3=28
20,неосознаваемый,простой,верно,простой,неверно,600,60,5*8=40,250,ХХХХХХ,6*3=21
21,неосознаваемый,простой,верно,простой,верно,600,60,7*7=49,250,ХХХХХХ,4*9=36
22,неосознаваемый,простой,верно,простой,верно,600,60,6*8=48,250,ХХХХХХ,8*2=16
23,неосознаваемый,простой,неверно,простой,неверно,600,60,4*5=25,250,ХХХХХХ,8*8=63
24,неосознаваемый,простой,верно,простой,неверно,600,60,6*4=24,250,ХХХХХХ,9*4=32
25,неосознаваемый,простой,неверно,простой,верно,600,60,7*5=25,250,ХХХХХХ,9*4=36
26,неосознаваемый,простой,верно,простой,верно,600,60,2*5=10,250,ХХХХХХ,6*3=18
27,неосознаваемый,простой,неверно,простой,неверно,600,60,7*6=49,250,ХХХХХХ,8*4=36
28,неосознаваемый,простой,неверно,простой,верно,600,60,8*7=54,250,ХХХХХХ,8*9=72
29,неосознаваемый,простой,неверно,простой,неверно,600,60,7*2=16,250,ХХХХХХ,8*9=63
30,неосознаваемый,простой,неверно,простой,верно,600,60,4*3=16,250,ХХХХХХ,2*6=12
31,неосознаваемый,простой,верно,простой,верно,600,60,7*3=21,250,ХХХХХХ,4*3=12
32,неосознаваемый,простой,верно,простой,верно,600,60,8*5=40,250,ХХХХХХ,3*9=27
33,неосознаваемый,простой,верно,простой,неверно,600,60,7*8=56,250,ХХХХХХ,9*9=72
34,неосознаваемый,простой,верно,простой,неверно,600,60,6*5=30,250,ХХХХХХ,7*3=24
35,неосознаваемый,простой,неверно,простой,неверно,600,60,9*8=63,250,ХХХХХХ,5*4=25
36,неосознаваемый,простой,неверно,простой,верно,600,60,3*5=25,250,ХХХХХХ,7*8=56
37,неосознаваемый,простой,неверно,простой,неверно,600,60,4*8=30,250,ХХХХХХ,5*5=35
38,неосознаваемый,простой,верно,простой,неверно,600,60,5*4=20,250,ХХХХХХ,3*7=24
39,неосознаваемый,простой,верно,простой,верно,600,60,9*9=81,250,ХХХХХХ,3*5=15
40,неосознаваемый,простой,неверно,простой,верно,600,60,6*3=16,250,ХХХХХХ,8*3=24
41,неосознаваемый,простой,верно,простой,неверно,600,60,2*9=18,250,ХХХХХХ,5*2=15
42,неосознаваемый,простой,неверно,простой,неверно,600,60,5*8=42,250,ХХХХХХ,6*9=42
43,неосознаваемый,простой,неверно,простой,верно,600,60,5*9=40,250,ХХХХХХ,8*4=32
44,неосознаваемый,простой,верно,простой,верно,600,60,6*2=12,250,ХХХХХХ,4*8=32
45,неосознаваемый,простой,верно,простой,неверно,600,60,9*7=63,250,ХХХХХХ,6*5=35
46,неосознаваемый,простой,неверно,простой,неверно,600,60,9*6=56,250,ХХХХХХ,6*6=30
47,неосознаваемый,простой,верно,простой,верно,600,60,7*6=42,250,ХХХХХХ,6*7=42
48,неосознаваемый,простой,верно,простой,верно,600,60,3*8=24,250,ХХХХХХ,8*7=56
49,неосознаваемый,простой,неверно,простой,верно,600,60,3*6=12,250,ХХХХХХ,2*7=14
50,неосознаваемый,простой,неверно,простой,неверно,600,60,7*8=64,250,ХХХХХХ,4*9=32
51,неосознаваемый,простой,верно,простой,неверно,600,60,9*3=27,250,ХХХХХХ,2*5=12
52,неосознаваемый,простой,неверно,простой,неверно,600,60,3*4=15,250,ХХХХХХ,7*8=54
53,неосознаваемый,простой,неверно,простой,верно,600,60,6*2=18,250,ХХХХХХ,6*6=36
54,неосознаваемый,простой,верно,простой,неверно,600,60,5*9=45,250,ХХХХХХ,8*2=12
55,неосознаваемый,простой,верно,простой,верно,600,60,6*3=18,250,ХХХХХХ,5*6=30
56,неосознаваемый,простой,верно,простой,верно,600,60,9*2=18,250,ХХХХХХ,5*2=10
57,неосознаваемый,простой,верно,простой,неверно,600,60,7*4=28,250,ХХХХХХ,3*9=21
58,неосознаваемый,простой,верно,простой,верно,600,60,5*3=15,250,ХХХХХХ,4*4=16
59,неосознаваемый,простой,неверно,простой,неверно,600,60,6*8=56,250,ХХХХХХ,2*8=18
60,неосознаваемый,простой,верно,простой,верно,600,60,2*8=16,250,ХХХХХХ,3*7=21
